age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
30,5,59496,4,13,1,0,1,1,0,2407,0,40,28,1
32,3,293936,0,4,3,10,3,1,0,0,0,40,36,1
48,5,149640,15,9,1,11,1,1,0,0,0,40,28,1
42,5,116632,7,16,1,14,1,1,0,0,0,45,28,0
29,5,105598,1,10,5,7,3,1,0,0,0,58,28,1
36,5,155537,15,9,1,13,1,1,0,0,0,40,28,1
28,5,183175,1,10,5,2,3,1,1,0,0,40,28,1
53,5,169846,15,9,1,2,2,1,1,0,0,40,28,0
49,0,191681,1,10,1,8,1,1,0,0,0,50,28,0
25,3,200681,1,10,0,10,5,1,0,0,0,40,28,1
19,5,101509,1,10,0,14,5,1,0,0,0,32,28,1
31,5,309974,4,13,2,0,5,4,1,0,0,40,28,1
29,1,162298,4,13,1,0,1,1,0,0,0,70,28,0
23,5,211678,1,10,0,3,3,1,0,0,0,40,28,1
79,5,124744,1,10,1,14,4,1,0,0,0,20,28,1
27,5,213921,15,9,0,5,5,1,0,0,0,40,27,1
40,5,32214,2,12,1,2,1,1,0,0,0,40,28,1
67,3,212759,13,6,1,10,1,1,0,0,0,2,28,1
18,5,309634,12,7,0,5,5,1,1,0,0,22,28,1
31,6,125927,0,4,1,12,1,1,0,0,0,40,28,1
18,5,446839,15,9,0,0,3,1,0,0,0,30,28,1
52,5,276515,4,13,1,5,1,1,0,0,0,40,1,1
46,5,51618,15,9,1,5,2,1,1,0,0,40,28,1
59,5,159937,15,9,1,0,1,1,0,0,0,48,28,1
44,5,343591,15,9,5,13,3,1,1,14344,0,40,28,0
53,5,346253,15,9,5,0,5,1,1,0,0,35,28,1
49,6,268234,15,9,1,1,1,1,0,0,0,40,28,0
33,5,202051,11,14,1,14,1,1,0,0,0,50,28,1
30,5,54334,5,5,0,0,3,1,0,0,0,40,28,1
43,8,410867,7,16,0,14,3,1,1,0,0,50,28,0
57,5,249977,6,11,1,14,1,1,0,0,0,40,28,1
37,5,286730,1,10,5,13,0,1,1,0,0,40,28,1
28,5,212563,1,10,5,3,0,4,1,0,0,25,28,1
30,5,117747,15,9,1,0,2,3,1,0,1573,35,36,1
34,6,226296,4,13,1,1,1,1,0,0,0,40,28,0
29,6,115585,1,10,0,9,3,1,0,0,0,50,28,1
48,1,191277,7,16,1,14,1,1,0,0,1902,60,28,0
37,5,202683,1,10,1,0,1,1,0,0,0,48,28,0
48,5,171095,2,12,5,8,0,1,1,0,0,40,22,1
32,8,249409,15,9,0,5,5,4,0,0,0,40,28,1
76,5,124191,11,14,1,8,1,1,0,0,0,40,28,0
44,5,198282,4,13,1,8,1,1,0,15024,0,60,28,0
47,1,149116,11,14,0,14,3,1,1,0,0,50,28,1
20,5,188300,1,10,0,7,5,1,1,0,0,40,28,1
29,5,103432,15,9,0,13,3,1,0,0,0,40,28,1
32,0,317660,15,9,1,13,1,1,0,7688,0,40,28,0
17,3,304873,13,6,0,10,5,1,1,34095,0,32,28,1
30,5,194901,12,7,0,9,5,1,0,0,0,40,28,1
31,6,189265,15,9,0,2,3,1,1,0,0,40,28,1
42,5,124692,15,9,1,9,1,1,0,0,0,40,28,1
24,5,432376,4,13,0,0,4,1,0,0,0,40,28,1
38,5,65324,10,15,1,14,1,1,0,0,0,40,28,0
56,1,335605,15,9,1,5,1,1,0,0,1887,50,31,0
28,5,377869,1,10,1,0,2,1,1,4064,0,25,28,1
36,5,102864,15,9,0,3,5,1,1,0,0,40,28,1
53,5,95647,5,5,1,9,1,1,0,0,0,50,28,1
56,0,303090,1,10,1,0,1,1,0,0,0,50,28,1
49,6,197371,6,11,1,13,1,4,0,0,0,40,28,0
55,5,247552,1,10,1,0,1,1,0,0,0,56,28,1
22,5,102632,15,9,0,13,3,1,0,0,0,41,28,1
21,5,199915,1,10,0,5,5,1,1,0,0,40,28,1
40,5,118853,4,13,1,8,1,1,0,0,0,60,28,1
30,5,77143,4,13,0,8,5,4,0,0,0,40,0,1
29,4,267989,4,13,1,14,1,1,0,0,0,50,28,0
19,5,301606,1,10,0,5,5,4,0,0,0,35,28,1
47,5,287828,4,13,1,8,2,1,1,0,0,40,28,0
20,5,111697,1,10,0,2,5,1,1,0,1719,28,28,1
31,5,114937,2,12,1,2,1,1,0,0,0,40,28,0
35,3,129305,15,9,1,10,1,1,0,0,0,40,28,1
39,5,365739,1,10,5,13,3,1,0,0,0,40,28,1
28,5,69621,2,12,0,0,3,1,1,0,0,60,28,1
24,5,43323,15,9,0,5,3,1,1,0,1762,40,28,1
38,1,120985,15,9,1,13,1,1,0,4386,0,35,28,1
37,5,254202,4,13,1,0,1,1,0,0,0,50,28,1
46,5,146195,2,12,5,7,3,4,1,0,0,36,28,1
38,8,125933,11,14,1,14,1,1,0,0,0,40,41,0
43,1,56920,15,9,1,13,1,1,0,0,0,60,28,1
27,5,163127,6,11,1,2,2,1,1,0,0,35,28,1
20,5,34310,1,10,0,0,5,1,0,0,0,20,28,1
49,5,81973,1,10,1,13,1,3,0,0,0,40,28,0
61,0,66614,15,9,1,13,1,1,0,0,0,40,28,1
27,5,232782,1,10,0,0,5,1,1,0,0,40,28,1
19,5,316868,1,10,0,5,5,1,0,0,0,30,27,1
45,5,196584,6,11,0,14,3,1,1,0,1564,40,28,0
70,5,105376,1,10,0,7,4,1,0,0,0,40,28,1
31,5,185814,15,9,0,11,0,4,1,0,0,30,28,1
22,5,175374,1,10,1,5,1,1,0,0,0,24,28,1
36,5,108293,15,9,4,5,0,1,1,0,0,24,28,1
64,5,181232,12,7,1,13,1,1,0,0,2179,40,28,1
43,3,174662,1,10,5,10,3,1,1,0,0,40,28,1
47,6,186009,1,10,5,2,0,1,1,0,0,38,27,1
34,5,198183,15,9,0,2,3,1,1,0,0,40,28,1
33,5,163003,4,13,0,8,4,3,1,0,0,40,38,1
21,5,296158,15,9,0,13,5,1,0,0,0,35,28,1
52,3,252903,15,9,5,10,3,1,0,0,0,45,28,0
48,5,187715,15,9,1,13,1,1,0,0,0,46,28,1
23,5,214542,4,13,0,9,3,1,0,0,0,40,28,1
71,1,494223,1,10,2,0,0,4,0,0,1816,2,28,1
29,5,191535,15,9,5,13,3,1,0,0,0,60,28,1
42,5,228456,4,13,2,5,4,4,0,0,0,50,28,1
68,3,38317,8,2,5,10,3,1,1,0,0,20,28,1
25,5,252752,15,9,0,5,0,1,1,0,0,40,28,1
44,0,78374,11,14,5,8,0,3,1,0,0,40,28,1
28,5,88419,15,9,0,8,3,3,1,0,0,40,22,1
45,1,201080,11,14,1,0,1,1,0,0,0,40,28,0
36,5,207157,1,10,5,5,0,1,1,0,0,40,27,1
39,8,235485,2,12,0,8,3,1,0,0,0,42,28,1
46,4,102628,11,14,4,1,0,1,0,0,0,40,28,1
18,5,25828,12,7,0,9,5,1,0,0,0,16,28,1
66,6,54826,6,11,4,14,3,1,1,0,0,20,28,1
27,5,124953,15,9,0,5,3,1,0,0,1980,40,28,1
28,4,175325,15,9,1,1,1,1,0,0,0,40,28,1
51,5,96062,1,10,1,0,1,1,0,0,1977,40,28,0
27,5,428030,4,13,0,13,3,1,0,0,0,50,28,1
28,4,149624,4,13,1,14,1,1,0,0,0,40,28,0
27,5,253814,15,9,3,0,0,1,1,0,0,25,28,1
21,5,312956,15,9,0,13,5,4,0,0,0,40,28,1
34,5,483777,15,9,0,9,3,4,0,0,0,40,28,1
18,5,183930,15,9,0,5,5,1,0,0,0,12,28,1
33,5,37274,4,13,1,14,1,1,0,0,0,65,28,1
44,6,181344,1,10,1,8,1,4,0,0,0,38,28,0
43,5,114580,1,10,5,2,3,1,1,0,0,40,28,1
30,5,633742,1,10,0,13,3,4,0,0,0,45,28,1
40,5,286370,0,4,1,3,1,1,0,0,0,40,27,0
37,8,29054,1,10,1,2,1,1,0,0,0,42,28,0
34,5,304030,15,9,1,2,1,4,0,0,0,40,28,1
41,1,143129,4,13,5,8,3,1,1,0,0,40,28,1
53,3,135105,4,13,5,10,3,1,1,0,0,50,28,1
31,5,99928,11,14,1,14,2,1,1,0,0,50,28,1
58,4,109567,7,16,1,14,1,1,0,0,0,1,28,0
38,5,155222,1,10,5,3,3,4,1,0,0,28,28,1
24,5,159567,1,10,1,3,1,1,0,0,0,40,28,1
41,6,523910,4,13,1,13,1,4,0,0,0,40,28,1
47,5,120939,1,10,1,7,1,1,0,0,0,45,28,1
41,8,130760,4,13,1,7,1,1,0,0,0,24,28,1
23,5,197387,3,3,1,11,4,1,0,0,0,40,27,1
36,5,99374,1,10,5,13,3,1,0,0,0,40,28,1
40,8,56795,11,14,0,8,3,1,1,14084,0,55,28,0
35,5,138992,11,14,1,14,4,1,0,7298,0,40,28,0
24,1,32921,15,9,0,0,3,1,0,0,0,40,28,1
26,5,397317,11,14,0,14,3,1,1,0,1876,40,28,1
19,3,170653,15,9,0,10,5,1,0,0,0,40,35,1
51,5,259323,4,13,1,8,1,1,0,0,0,50,28,0
42,6,254817,1,10,0,14,3,1,1,0,1340,40,28,1
37,4,48211,15,9,5,2,0,1,1,0,0,35,28,1
18,5,140164,12,7,0,0,5,1,1,0,0,40,28,1
36,5,128757,4,13,1,5,1,4,0,7298,0,36,28,0
35,5,36270,15,9,5,13,3,1,0,0,0,60,28,1
58,0,210563,15,9,1,0,2,1,1,15024,0,35,28,0
17,5,65368,12,7,0,0,5,1,1,0,0,12,28,1
44,6,160943,15,9,1,11,1,4,0,0,0,40,28,1
37,5,208358,15,9,1,13,1,1,0,0,0,40,28,0
35,5,153790,1,10,0,0,3,0,1,0,0,40,28,1
60,5,85815,15,9,1,13,1,3,0,0,0,40,28,1
54,0,125417,0,4,1,3,1,1,0,0,0,40,28,0
37,5,635913,4,13,0,8,3,4,0,0,0,60,28,0
50,5,313321,2,12,5,0,3,1,1,0,0,40,28,1
38,5,182609,4,13,1,0,1,1,0,0,0,50,40,1
45,5,109434,4,13,1,14,1,1,0,0,0,55,28,1
25,5,255004,13,6,0,13,3,1,0,0,0,40,28,1
31,5,197860,1,10,1,9,1,1,0,0,0,40,28,1
64,3,187656,8,2,5,10,3,1,0,0,0,40,28,1
90,5,51744,15,9,0,5,3,4,0,0,2206,40,28,1
54,5,176681,15,9,1,2,1,4,0,0,0,20,28,1
53,6,140359,14,1,0,3,3,1,1,0,0,35,28,1
18,5,243313,15,9,0,0,5,1,1,0,0,40,28,1
60,3,24215,13,6,5,10,3,0,1,0,0,10,28,1
66,1,167687,15,9,1,12,1,1,0,1409,0,50,28,1
75,5,314209,6,11,4,2,3,1,1,0,0,20,6,1
65,5,176796,15,9,5,2,3,1,1,0,0,40,28,1
35,5,538583,12,7,2,11,3,4,0,3674,0,40,28,1
41,5,130408,15,9,5,0,0,4,1,0,0,38,28,1
25,5,159732,1,10,0,2,3,1,0,0,0,42,28,1
33,5,110978,1,10,5,13,4,2,1,0,0,40,28,1
28,5,76714,10,15,0,14,3,1,0,0,0,55,28,0
59,4,268700,15,9,1,5,1,1,0,0,0,40,28,1
40,4,170525,1,10,0,2,3,1,1,0,0,38,28,1
41,5,180138,4,13,1,8,1,1,0,0,0,50,41,0
38,6,115076,11,14,1,8,1,1,0,0,0,70,28,0
23,5,115458,15,9,0,11,5,1,0,0,0,40,28,1
40,5,347890,4,13,1,14,1,1,0,0,0,40,28,0
41,1,196001,15,9,1,5,2,1,1,0,0,20,28,1
24,4,273905,2,12,1,1,1,1,0,0,0,50,28,1
20,3,119156,1,10,0,10,5,1,0,0,0,20,28,1
38,5,179488,1,10,5,13,3,1,0,0,1741,40,28,1
56,5,203580,15,9,1,2,1,1,0,0,0,35,36,1
58,5,236596,15,9,1,2,1,1,0,0,0,45,28,0
32,5,183916,15,9,0,5,3,1,1,0,0,34,28,1
40,5,207578,2,12,1,7,1,1,0,0,1977,60,28,0
45,5,153141,15,9,1,2,1,1,0,0,0,40,36,1
41,5,112763,10,15,1,14,2,1,1,0,0,40,28,0
42,5,390781,4,13,1,2,2,4,1,0,0,40,28,1
59,6,171328,13,6,4,5,0,4,1,0,0,30,28,1
19,6,27382,1,10,0,2,5,1,0,0,0,40,28,1
58,5,259014,1,10,0,11,3,1,0,0,0,20,28,1
42,1,303044,15,9,1,12,1,3,0,0,0,40,8,0
20,5,117789,15,9,0,5,5,1,1,0,0,40,28,1
32,5,172579,15,9,2,5,3,1,1,0,0,30,28,1
45,5,187666,6,11,4,8,3,1,1,0,0,45,28,1
50,5,204518,0,4,5,13,3,1,0,0,0,40,28,1
36,5,150042,4,13,5,14,5,1,1,0,0,40,28,1
45,5,98092,15,9,1,0,1,1,0,0,0,60,28,1
17,5,245918,12,7,0,5,5,1,0,0,0,12,28,1
59,5,146013,1,10,1,0,1,1,0,4064,0,40,28,1
26,5,378322,12,7,1,13,1,1,0,0,0,40,28,1
37,0,257295,1,10,1,8,1,3,0,0,0,75,13,0
19,3,218956,1,10,0,10,5,1,0,0,0,24,31,1
64,5,21174,15,9,1,8,1,1,0,0,0,40,28,0
33,5,185480,4,13,0,14,3,1,1,0,0,45,28,1
33,5,222205,15,9,1,13,2,1,1,0,0,40,28,0
61,5,69867,15,9,1,8,1,1,0,0,0,40,28,0
17,5,191260,5,5,0,5,5,1,0,1055,0,24,28,1
50,1,30653,11,14,1,12,1,1,0,2407,0,98,28,1
27,6,209109,11,14,0,14,5,1,0,0,0,35,28,1
30,5,70377,15,9,5,14,5,1,1,0,0,40,28,1
43,5,477983,15,9,1,9,1,4,0,0,0,40,28,1
44,5,170924,1,10,1,13,1,1,0,7298,0,40,28,0
35,5,190174,1,10,0,8,3,1,1,0,0,40,28,1
25,5,193787,1,10,0,7,5,1,1,0,0,40,28,1
24,5,279472,1,10,1,3,2,1,1,7298,0,48,28,0
22,5,34918,4,13,0,14,3,1,1,0,0,15,0,1
42,6,97688,1,10,1,13,1,1,0,5178,0,40,28,0
34,5,175413,2,12,5,0,0,4,1,0,0,45,28,1
60,5,173960,4,13,5,14,3,1,1,0,0,42,28,1
21,5,205759,15,9,0,9,5,1,0,0,0,40,28,1
57,8,425161,11,14,1,0,1,1,0,15024,0,40,28,0
41,5,220531,10,15,1,14,1,1,0,0,0,60,28,0
50,5,176609,1,10,5,5,3,1,0,0,0,45,28,1
25,5,371987,4,13,0,8,3,1,1,0,0,40,28,1
50,5,193884,0,4,1,13,1,1,0,0,0,40,37,1
36,5,200352,4,13,1,14,1,1,0,0,0,45,28,1
31,5,127595,15,9,5,14,3,1,1,0,0,40,28,1
29,6,220419,4,13,0,1,3,1,0,0,0,56,28,1
21,5,231931,1,10,0,0,5,1,0,0,0,45,28,1
27,5,248402,4,13,0,7,0,4,1,0,0,40,28,1
65,5,111095,15,9,1,11,1,1,0,0,0,16,28,1
37,0,57424,4,13,5,0,3,1,1,0,0,60,28,1
39,3,157443,11,14,1,10,2,3,1,3464,0,40,36,1
24,5,278130,15,9,0,13,5,1,0,0,0,40,28,1
38,5,169469,15,9,5,0,3,1,0,0,0,80,28,1
48,5,146268,4,13,1,2,1,1,0,7688,0,40,28,0
21,5,153718,1,10,0,5,3,3,1,0,0,25,28,1
31,5,217460,15,9,1,11,1,1,0,0,0,45,28,0
55,5,238638,15,9,1,0,1,1,0,4386,0,40,28,0
24,5,303296,1,10,1,2,2,3,1,0,0,40,2,1
43,5,173321,15,9,5,2,3,1,1,0,0,40,28,1
26,5,193945,2,12,0,7,3,1,0,0,0,45,28,1
46,5,83082,2,12,0,14,3,1,1,0,0,33,28,1
35,5,193815,2,12,1,2,1,1,0,0,0,40,28,0
41,0,34987,1,10,1,12,1,1,0,0,0,54,28,0
26,5,59306,4,13,0,0,3,1,0,0,0,40,28,1
34,5,142897,11,14,1,8,1,3,0,7298,0,35,5,0
19,3,860348,1,10,0,10,5,4,1,0,0,25,28,1
36,1,205607,4,13,5,14,3,4,1,0,0,40,28,0
22,5,199698,1,10,0,0,5,1,0,0,0,15,28,1
24,5,191954,1,10,0,3,3,1,0,0,0,40,28,1
77,1,138714,1,10,1,0,1,1,0,0,0,40,28,1
22,5,399087,3,3,1,3,4,1,1,0,0,40,27,1
29,5,423158,1,10,0,7,3,1,1,0,0,40,28,1
62,5,159841,15,9,4,5,3,1,1,0,0,24,28,1
39,1,174308,15,9,1,8,1,1,0,0,0,40,28,1
43,5,50356,1,10,1,13,1,1,0,0,1485,50,28,1
35,5,186110,15,9,5,11,3,1,0,0,0,45,28,1
29,5,200381,12,7,0,8,3,1,1,0,0,40,28,1
76,1,174309,11,14,1,13,1,1,0,0,0,10,28,1
63,1,78383,15,9,1,12,1,1,0,0,0,45,28,1
23,3,211601,6,11,0,10,5,4,1,0,0,15,28,1
43,5,187728,1,10,1,14,2,1,1,0,1887,50,28,0
58,1,321171,15,9,1,9,1,1,0,0,0,40,28,1
66,5,127921,15,9,0,11,3,1,0,2050,0,55,28,1
41,5,206565,1,10,0,13,3,4,0,0,0,45,28,1
26,5,224563,4,13,0,2,3,1,0,0,0,40,28,1
47,5,178686,6,11,0,5,3,1,0,0,0,40,28,1
55,6,98545,13,6,1,2,1,1,0,0,0,40,28,1
53,5,242606,15,9,1,11,1,1,0,0,0,40,28,1
17,5,270942,3,3,0,5,4,1,0,0,0,48,27,1
30,5,94235,15,9,0,13,4,1,0,0,0,40,28,1
49,5,71195,11,14,0,14,3,1,0,0,0,60,28,1
19,5,104112,15,9,0,0,0,4,0,0,0,30,15,1
45,5,261192,15,9,1,5,1,4,0,0,0,40,28,1
26,5,94936,2,12,0,0,3,1,0,0,0,40,28,1
38,5,296478,6,11,1,13,1,1,0,7298,0,40,28,0
36,4,119272,15,9,1,1,1,1,0,7298,0,40,28,0
33,5,85043,15,9,0,12,3,1,0,0,0,20,28,1
22,4,293364,1,10,0,1,5,4,1,0,0,40,28,1
43,1,241895,4,13,0,0,3,1,0,0,0,42,28,1
67,3,36135,12,7,1,10,1,1,0,0,0,8,28,1
30,3,151989,6,11,5,10,0,1,1,0,0,40,28,1
56,5,101128,2,12,3,5,3,1,0,0,0,25,41,1
31,5,156464,4,13,0,14,5,1,0,0,0,25,28,1
33,5,117963,4,13,1,8,1,1,0,0,0,40,28,0
26,5,192262,15,9,1,5,1,1,0,0,0,40,28,1
33,5,111363,4,13,1,8,1,1,0,0,0,40,28,0
46,6,329752,12,7,1,11,1,1,0,0,0,30,28,1
59,3,372020,4,13,1,10,1,1,0,0,0,40,28,0
38,8,95432,15,9,1,2,1,1,0,0,0,40,28,0
65,5,161400,12,7,4,5,0,2,0,0,0,40,28,1
40,5,96129,6,11,1,7,1,1,0,0,0,40,28,0
42,5,111949,15,9,1,2,2,1,1,0,0,35,28,1
26,1,117125,5,5,1,13,1,1,0,0,0,40,23,1
36,5,348022,13,6,1,5,2,1,1,0,0,24,28,1
62,5,270092,11,14,1,14,1,1,0,0,0,40,28,0
43,5,180609,4,13,1,11,1,1,0,0,0,45,28,1
43,5,174575,4,13,5,8,3,1,0,0,1564,45,28,0
22,5,410439,15,9,3,0,3,1,0,0,0,55,28,1
28,5,92262,15,9,1,13,1,1,0,0,0,40,28,1
56,1,183081,1,10,1,0,1,1,0,0,0,45,28,1
22,5,362589,2,12,0,0,3,1,1,0,0,15,28,1
57,5,212448,4,13,5,8,3,1,1,0,0,45,28,0
39,5,481060,15,9,5,0,0,1,1,0,0,40,28,1
26,8,185885,1,10,0,2,0,1,1,0,0,15,28,1
17,5,89821,12,7,0,5,5,1,0,0,0,10,28,1
40,4,184018,6,11,1,3,1,1,0,0,0,38,28,0
45,5,256649,15,9,1,3,1,4,0,0,0,40,28,1
44,5,160323,15,9,0,13,3,4,0,0,0,40,28,1
20,6,350845,1,10,0,2,5,1,1,0,0,10,28,1
33,5,267404,15,9,1,13,2,1,1,0,0,40,28,1
23,5,35633,1,10,0,0,3,1,0,0,0,40,28,1
46,1,80914,11,14,5,8,3,1,0,0,0,30,28,1
38,5,172927,15,9,1,0,1,1,0,0,0,50,28,1
54,5,174319,15,9,5,11,3,1,0,0,0,40,28,1
46,5,214955,3,3,5,13,3,1,1,0,2339,45,28,1
25,5,344991,1,10,1,13,1,1,0,0,0,40,28,1
46,5,108699,1,10,5,0,3,1,1,0,0,40,28,1
36,6,117312,1,10,1,11,2,1,1,0,0,40,28,1
23,5,396099,15,9,0,5,3,1,1,0,0,25,28,1
29,5,134152,15,9,2,3,3,1,0,0,0,40,28,1
44,5,162028,1,10,1,2,2,1,1,0,2415,6,28,0
19,5,25429,1,10,0,2,5,1,1,0,0,16,28,1
19,5,232392,15,9,0,5,4,1,1,0,0,40,28,1
35,5,220098,15,9,1,5,2,1,1,0,0,40,28,0
27,5,301302,4,13,0,13,3,1,0,0,0,50,28,1
46,1,277946,2,12,2,13,3,1,0,0,0,40,28,1
34,4,98101,4,13,1,8,1,1,0,7688,0,45,36,0
34,5,196164,15,9,0,5,3,1,1,0,0,35,28,1
44,5,115562,1,10,1,7,1,1,0,0,0,40,28,1
45,5,96975,1,10,5,9,0,1,1,0,0,40,28,1
20,3,137300,15,9,0,10,4,1,1,0,0,35,28,1
25,5,86872,4,13,1,8,1,1,0,0,0,55,28,0
52,0,132178,4,13,1,8,1,1,0,0,0,50,28,0
20,5,416103,1,10,0,9,5,1,0,0,0,40,28,1
28,5,108574,1,10,0,5,3,1,1,0,0,40,28,1
50,4,288353,4,13,1,1,1,1,0,0,0,40,28,0
34,5,227689,6,11,5,7,3,1,1,0,0,64,28,1
28,5,166481,0,4,1,9,1,2,0,0,2179,40,21,1
41,5,445382,11,14,1,8,1,1,0,0,1977,65,28,0
28,5,110145,15,9,1,2,1,1,0,0,0,40,28,1
46,1,317253,15,9,1,13,1,1,0,0,0,25,28,1
28,3,123147,1,10,1,10,2,1,1,0,1887,40,28,0
32,5,364657,1,10,1,8,1,1,0,0,0,50,28,1
41,6,42346,1,10,5,5,3,4,1,0,0,24,28,1
24,5,241951,15,9,0,9,0,4,1,0,0,40,28,1
33,5,118500,1,10,5,8,0,1,1,0,0,40,28,1
46,5,188386,7,16,1,8,1,1,0,15024,0,60,28,0
31,4,1033222,1,10,1,3,1,1,0,0,0,40,28,1
35,5,92440,9,8,5,13,3,1,0,0,0,50,28,0
52,5,190762,8,2,1,3,1,1,0,0,0,40,27,1
30,5,426017,12,7,0,5,5,1,1,0,0,19,28,1
34,6,243867,12,7,2,3,3,4,0,0,0,40,28,1
34,4,240283,15,9,5,11,0,1,1,0,0,40,28,1
20,5,61777,1,10,1,0,1,1,0,0,0,30,28,1
17,5,175024,12,7,0,9,5,1,0,2176,0,18,28,1
32,4,92003,4,13,1,8,2,1,1,0,0,40,28,0
29,5,188401,15,9,5,12,3,1,0,0,0,40,28,1
33,5,228528,13,6,0,13,0,1,1,0,0,35,28,1
25,5,133373,15,9,1,11,1,1,0,0,0,60,28,1
36,8,255191,11,14,0,14,3,1,0,0,1408,40,28,1
23,5,204653,15,9,0,9,3,1,0,0,0,72,39,1
63,0,222289,15,9,1,8,1,1,0,0,0,40,28,0
47,6,287480,11,14,1,14,1,1,0,0,0,40,28,1
80,3,107762,15,9,4,10,3,1,0,0,0,24,28,1
17,3,202521,12,7,0,10,5,1,0,0,0,40,28,1
40,1,204116,4,13,3,14,3,1,1,2174,0,40,28,1
30,5,29662,2,12,1,5,2,1,1,0,0,25,28,0
27,5,116358,1,10,0,13,5,3,0,0,1980,40,38,1
33,5,208405,11,14,1,14,1,1,0,0,0,50,28,0
34,6,284843,15,9,0,12,3,4,0,594,0,60,28,1
34,6,117018,1,10,0,1,3,1,1,0,0,40,28,1
23,5,81281,1,10,1,2,1,1,0,0,0,40,28,1
42,6,340148,1,10,1,2,2,1,1,0,0,40,28,1
29,5,363425,4,13,0,14,3,1,0,0,0,40,28,1
45,5,45857,15,9,5,2,3,1,1,0,0,28,28,1
24,8,191073,15,9,0,4,5,1,0,0,0,40,28,1
44,5,116632,1,10,1,14,1,1,0,0,0,40,28,0
27,5,405855,5,5,0,13,4,1,0,0,0,40,27,1
